,id,kw,txt
0,247746,['خرید'],"سلام
سهم ونیرو تا چقدر بالا میره ؟
لطفا راهنمایی کنید وقت خرید هست یا نه ؟"
1,248371,['خرید'],وپارس تحلیل،،،میشه خرید زد
2,249128,['خرید'],بکام خوبیهای خرید
3,249140,['خرید'],سلام برای خرید غگیلا کی باید سفارش ثبت کرد ؟!
4,249151,['خرید'],"برای کارگزاری آگاه 
غگیلا خرید زدیم چهارشنبه ک نگرفت برای عرضه اولیه ، الان باید چه کرد ؟ 
خرید مجدد میخواد یا خودشون میگیرن؟"
5,249690,['خرید'],وملل واسه خرید
6,249692,['تارگت'],سلام تارگت وتحليل كترام لطفاممنونم ازلطفتون
7,249709,['خرید'],سلام شش تا میشه خرید الان
8,250188,['فروش'],کترام فروش یا نگهداری
9,250249,['خرید'],دوستان برا خرید چی خوبه ؟
10,250251,['خرید'],برای خرید کوتاه مدت چی خوبه
11,250254,['کف'],قشرین در کف کانال.
12,250262,['خرید'],فملی واسه خرید چطوره؟؟؟؟
13,250295,['مقاومت'],"چرا همه از ریزش بورس میگن ولی هیچکس دلیل علمی  ملموسی ارائه نمیده؟
همه میگن من میدونم که اینجوری میشه یه بار هم سال ۹۲ اینجوری شد.
شاید بازار بورس را بتوان به دریاچه ای تشبیه کرد که خیلی ها برای صید به این دریا پا گذاشته اند .
ورودی نقدینگی را میتوان دبی ورودی این دریاچه تشبیه کرد و خروج نقدینگی را دبی خروجی آن. 
حال عمق این دریاچه چقدر است؟
دولت چقدر میخواهد آن را عمیق تر و وسیعتر کند؟
ظرفیت و گنجایش این دریاچه چقدر است؟
مقاومت سد چقدر است و در چه شرایطی امکان دارد سد بشکند؟

حال با توجه به پارامترهای عمق و وسعت و مقاومت سد چگونه باید دبی ورودی و خروجی دریاچه را تنظیم کرد تا دریا متلاطم نشود و همه بتوانند صید خوبی داشته باشند و باز هم برای صید به دریا برگردند و یا اصلا آنقدر صیادی لذت بخش باشد که کسی دریا را ترک نکند .


کاش این همه مغز متفکر و دانشمند بازار سرمایه برای این مساله راهکاری ارائه دهند ."
14,250863,['خرید'],سلام.چطوری میشه اوراق واسه وام مسکن خرید از بورس
15,251242,['فروش'],سلام صبا نگهداری یا فروش
16,251251,['فروش'],"سلام.
خفنر فروش یا سهامداری؟"
17,251267,"['حمایت', 'مقاومت']",رانفور مقاومت و حمایت
18,251748,['فروش'],شگویا نگهداری یا فروش
19,251760,['فروش'],ومهان و  وبانک نگهداری یا فروش
20,251863,['حمایت'],غدیس حمایت خطوط سفید را دارد.
21,252206,['هدف'],هدف ذوب بلند مدتی لطفا
22,252214,['خرید'],"سلام 
سهم غگل واسه خرید نظرتون لطفا"
